Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating,id
Battlefront,9.0,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,Alexander Freed,1884767,496.0,Delrey,English,7.50 x 4.25 x 1.00 Inches,,,1422
War of the Twins,7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Weis, Margaret Hickman, Tracy",6918051,411.0,Wizards of the Coast,English,7.00 x 4.25 x 1.00 Inches,,,1423
The Murder Book,8.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Kellerman, Jonathan",5508548,614.0,Random House,English,7.50 x 4.25 x 1.50 Inches,,,1424
The Space Wolf Omnibus,14.85,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Military,William King,5721143,768.0,Games Workshop,English,7.80 x 129.54 x 2.00 Inches (US),,,1425
Memories of Ice,8.98,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Erikson, Steven",5348807,925.0,Tor Books,English,6.75 x 4.25 x 1.50 Inches,,,1426
23337,13.97,Books > Literature & Fiction > Fiction > General,Stephen King,1442391634,,Simon &amp; Schuster Audio,English,190.50 x 5.25 x 12.70 Millimeters,,,1427
Is It Wrong to Try to Pick Up Girls in a Dungeon?,11.97,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,Fujino Omori,316442453,304.0,Yen PressYen On,English,,,,1428
A Game of Thrones,22.66,Books > Literature & Fiction > Fiction > Action & Adventure,"Martin, George R. R.",3808049,880.0,Random House Inc,English,10.00 x 7.00 x 2.25 Inches,,,1429
Duplicity Dogged the Dachshund,18.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths","Clement, Blaize",1250095344,258.0,St. Martins Press-3pl,English,5.00 x 0.58 x 7.99 Inches,,,1430
Cibola Burn,15.97,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,James S. A. Corey,6334685,624.0,Orbit,English,9.25 x 6.00 x 1.62 Inches (US),,,1431
